"date ","nm_id ","date__nm_id ","imt_id ","open_card_count_jam ","add_to_cart_count_jam ","orders_count_jam ","views ","clicks ","adv_sum ","external_costs ","external_sources ","atbs ","orders ","shks ","sum_price ","avg_position ","views_auto ","clicks_auto ","adv_sum_auto ","ctr_auto ","cpc_auto ","cpm_auto ","views_manual ","clicks_manual ","adv_sum_manual ","ctr_manual ","cpc_manual ","cpm_manual ","views_ppc ","clicks_ppc ","adv_sum_ppc ","ctr_ppc ","cpc_ppc ","cpm_ppc ","views_search_auto ","clicks_search_auto ","adv_sum_search_auto ","cpc_search_auto ","ctr_search_auto ","cpm_search_auto ","views_search_manual ","clicks_search_manual ","adv_sum_search_manual ","cpc_search_manual ","ctr_search_manual ","cpm_search_manual ","views_rs_auto ","clicks_rs_auto ","adv_sum_rs_auto ","cpc_rs_auto ","ctr_rs_auto ","cpm_rs_auto ","views_rs_manual ","clicks_rs_manual ","adv_sum_rs_manual ","cpc_rs_manual ","ctr_rs_manual ","cpm_rs_manual ","ctr_auto_subject_diff ","ctr_manual_subject_diff ","ctr_search_auto_subject_diff ","ctr_search_manual_subject_diff ","ctr_rs_auto_subject_diff ","ctr_rs_manual_subject_diff ","adv_percent ","organic_percent ","open_card_count ","open_card_dynamic ","orders_sum_rub ","orders_count ","add_to_cart_count ","add_to_cart_conversion ","cart_to_order_conversion ","click_to_order_conversion ","buyout_percent ","orders_dyn ","spp ","buyouts_sum_rub ","buyouts_count ","avg_price ","avg_price_with_spp ","valuation_count ","stocks ","stocks_sizes ","in_way_to_client ","in_way_from_client ","stocks_enough_for ","returns_plan ","order_price ","card_price ","localization ","orders_count_local ","unit_expenses ","marg_without_adv ","marg_with_adv ","profit_without_adv ","profit_with_adv ","card_rating ","promo_sum ","promo_count ","expected_buyouts_sum_rub ","stocks_rub ","all_stocks_rub ","returns_plan_rub ","dummy ","buyout_percent_day ","buyout_percent_month ","hranenie_rub ","priemka_rub ","acquiring_rub ","tax_total_rub ","delivery_mp_with_buyout_rub ","additional_costs ","sebes_rub ","markirovka_rub ","perc_mp_rub ","actions ","promo_total_cost ","orders_count_returned_fact ","orders_buyouts_count_fact ","orders_count_canceled_fact ","orders_buyouts_sum_rub_fact ","orders_sum_rub_returned_fact ","orders_sum_rub_canceled_fact ","stocks_enough_for_with_buyout_perc ","frequency ","stocks_total ","jam_clicks ","orders_count_completed ","orders_count_canceled ","orders_count_returned ","orders_buyouts_count ","orders_sum_rub_completed ","orders_sum_rub_canceled ","orders_sum_rub_returned ","orders_buyouts_sum_rub ","expected_buyouts_count ","orders_count_total_central ","orders_count_total_northwest ","orders_count_total_south_caucasus ","orders_count_total_volga ","orders_count_total_fareast ","orders_count_total_ural ","orders_count_local_central ","orders_count_local_northwest ","orders_count_local_south_caucasus ","orders_count_local_volga ","orders_count_local_fareast ","orders_count_local_ural ","localization_percent_central ","localization_percent_northwest ","localization_percent_south_caucasus ","localization_percent_volga ","localization_percent_fareast ","localization_percent_ural ","log_text "
"2026-04-30","718415270","46142|0718415270","628722626","2","8","4","9388","291","2211,29","0","","28","4","4","22880","18","0","0","0","0","0","0","9388","291","2211,29","0,031","7,6","235,54","0","0","0","0","0","0","0","0","0","0","0","0","177","14","650,17","46,44","0,0791","3673,28","0","0","0","0","0","0","9211","277","1561,12","5,64","0,03007","169,48","-0,0287","-0,016","-0,0358","0,0136","-0,0215","0,00167","0,09665","0,38831","479","-0,02444","22880","4","36","0,07516","0,11111","0,00835","0,773","7","0,35","51479,92","9","5720","3718","0","302","0 - 302","31","4","43,14","11,04","552,82","61,42","0,43158","1","3934,437028","0,31216","0,11887","3571,13","1359,84","4,77","0","0","11440","458134","474881,68","16747,68","","0,5","0,774","11,79128364","0","139,5968421","431,4514286","232,9974737","0","1517","0","1601,6","","0","0","9","0","51479,92","0","0","63,09","2978","313,037","123","4","0","2","2","22880","0","11440","11440","2","2","0","1","2","0","0","2","0","0","0","0","0","1","0","0","0","0","0",""
"2026-04-30","737732125","46142|0737732125","626608537","8","10","0","1","0","0,05","0","","0","0","0","0","0","0","0","0","0","0","0","1","0","0,05","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0,05","0","0","50","-0,0275","-0,0541","0","-0,0743","-0,0275","-0,0338","0","0,94406","143","0,08333","0","0","14","0,0979","0","0","0,849","1","0,21","11900","1","11900","9401","0","92","0 - 92","3","2","92","2,45","0","0","0,41667","0","11065,09428","0","0","0","-0,05","4,17","0","0","0","429640","441081,5","11441,5","","0","0,849","440,343188","0","312,1792308","984,8666667","1563,705192","0","4670","0","3094","","0","0","1","0","11900","0","0","124,13","7755","94,453","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"2026-04-30","790976796","46142|0790976796","633708784","10","58","22","14209","268","10445,63","0","","59","21","21","60900","8","0","0","0","0","0","0","14209","268","10445,63","0,01886","38,98","735,14","0","0","0","0","0","0","0","0","0","0","0","0","1393","93","5325,13","57,26","0,06676","3822,78","0","0","0","0","0","0","12816","175","5120,5","29,26","0,01365","399,54","-0,0325","-0,03174","-0,0463","-0,01154","-0,0186","-0,00925","0,13341","0,65637","809","-0,27444","78300","27","81","0,10012","0,33333","0,03337","0,932","39,286","0,27111","162400,24","56","2900","2113,78","0","1278","0 - 1278","151","12","32,53","22,27","386,88","128,96","0,64163","21","2115,746331","0,27043","0,12635","19606,34","9160,71","4,79","0","0","72500","801306","815269,29","13963,29","","0,926","0,932","24,48627437","0","79,41920838","221,4437238","264,3971246","0","627","0","899","","0","0","56","4","162400,24","0","11600","36,33","5350","1300,268","376","27","1","1","25","78300","2900","2900","72500","25","13","1","7","3","2","0","13","0","7","2","0","0","1","0","1","0,66667","0","0",""
"2026-04-30","809188998","46142|0809188998","633708784","0","70","28","16721","340","12757,08","0","","90","31","31","59930","10","0","0","0","0","0","0","16721","340","12757,08","0,02033","37,52","762,94","0","0","0","0","0","0","0","0","0","0","0","0","1288","85","5482,21","64,5","0,06599","4256,37","0","0","0","0","0","0","15433","255","7274,87","28,53","0,01652","471,38","-0,0325","-0,03027","-0,0463","-0,01231","-0,0186","-0,00638","0,16089","0,60829","868","0,085","79290","41","110","0,12673","0,37273","0,04724","0,935","30,571","0,2622","71909,9","34","1933,9","1426,83","0","1437","0 - 1437","121","11","47,01","18,87","311,15","115,97","0,64234","24","1521,49361","0,21369","0,04887","16539,82","3782,74","4,8","0","0","77399,56","675390","684258,9","8868,9","","0,976","0,935","26,34680151","0","60,57993925","149,4775773","215,5802916","0","470","0","599,509","","0","0","34","7","71909,9","0","14895","52,01","6812","1455,865","363","41","1","0","40","79289,56","1890","0","77399,56","40","17","1","5","5","4","1","17","0","5","2","0","1","1","0","1","0,4","0","1",""
"2026-04-30","809200437","46142|0809200437","633708784","0","53","10","23663","816","13138,86","0","","146","26","26","31979","11","0","0","0","0","0","0","23663","816","13138,86","0,03448","16,1","555,25","0","0","0","0","0","0","0","0","0","0","0","0","1075","66","3827,51","57,99","0,0614","3560,47","0","0","0","0","0","0","22588","750","9311,35","12,42","0,0332","412,23","-0,0325","-0,01612","-0,0463","-0,0169","-0,0186","0,0103","0,3052","0,43879","1454","-0,03963","43050","35","192","0,13205","0,18229","0,02407","0,936","51,857","0,26571","61529,72","50","1230","903,18","0","1826","0 - 1826","180","19","35,21","30,52","375,4","68,43","0,47485","21","887,5192984","0,27844","-0,05538","10959,29","-2179,57","4,69","0","0","39359,91","467456","475269,12","7813,12","","0,914","0,936","6,23382487","0","33,58471051","94,61851143","115,7822516","0","256","0","381,3","","0","1","51","7","62759,72","1230","8640","39,11","5599","1856,52","310","35","3","0","32","43049,91","3690","0","39359,91","32","8","2","5","8","5","4","8","0","5","5","0","3","1","0","1","0,625","0","0,75",""
"2026-04-30","809204609","46142|0809204609","633708784","0","66","28","13942","274","11243,08","0","","61","25","25","52999","12","0","0","0","0","0","0","13942","274","11243,08","0,01965","41,03","806,42","0","0","0","0","0","0","0","0","0","0","0","0","1381","78","5989,49","76,79","0,05648","4337,07","0","0","0","0","0","0","12561","196","5253,59","26,8","0,0156","418,25","-0,0325","-0,03095","-0,0463","-0,02182","-0,0186","-0,0073","0,15152","0,66545","819","-0,1939","74200","35","84","0,10256","0,41667","0,04274","0,93","49,429","0,26459","106160,3","50","2120","1559,07","0","1912","0 - 1912","157","7","38,68","17,99","321,23","133,85","0,55168","17","1500,949471","0,292","0,12093","19190,46","7947,38","4,73","0","0","65719,89","845104","853055,58","7951,58","","0,886","0,93","13,23691488","0","61,01735577","163,331059","164,1641415","0","442","0","657,2","","0","0","50","3","106160,3","0","6440","42,62","6799","1929,99","373","35","4","0","31","74199,89","8480","0","65719,89","31","10","1","6","13","4","2","10","0","6","3","0","2","1","0","1","0,23077","0","1",""
"2026-04-30","825055913","46142|0825055913","628722626","0","16","10","4908","123","4072,74","0","","14","3","3","11076","13","0","0","0","0","0","0","4908","123","4072,74","0,02506","33,11","829,82","0","0","0","0","0","0","0","0","0","0","0","0","364","30","1866,22","62,21","0,08242","5126,98","0","0","0","0","0","0","4544","93","2206,52","23,73","0,02047","485,59","-0,0287","-0,02194","-0,0358","0,01692","-0,0215","-0,00793","0,18385","0,51953","256","-0,00389","22152","6","21","0,08203","0,28571","0,02344","0,868","5,571","0,32833","22152","6","3692","2479,81","0","200","0 - 200","22","1","35,9","3,9","678,79","193,94","0,45333","2","2424,9793","0,34318","0,15933","7602,12","3529,38","4,72","0","0","22152","182200","185752,9","3552,9","","1","0,868","4,7985376","0","90,02721854","278,4822857","106,9112583","0","911","0","1033,76","","0","1","7","1","25844","3692","3692","45,17","3159","203,904","122","6","0","0","6","22152","0","0","22152","6","2","0","0","1","2","1","2","0","0","0","0","0","1","0","0","0","0","0",""
"2026-04-30","825057573","46142|0825057573","628722626","0","16","0","2086","93","3066,7","0","","10","1","1","3800","8","0","0","0","0","0","0","2086","93","3066,7","0,04458","32,98","1470,13","0","0","0","0","0","0","0","0","0","0","0","0","537","63","2592,46","41,15","0,11732","4827,67","0","0","0","0","0","0","1549","30","474,24","15,81","0,01937","306,16","-0,0287","-0,00242","-0,0358","0,05182","-0,0215","-0,00903","0,40351","0,60256","234","0,00429","7600","2","17","0,07265","0,11765","0,00855","0,834","5,286","0,315","15200","4","3800","2603","0","250","0 - 250","13","2","47,29","4,16","1533,35","180,39","0,64286","0","2277,858133","0,40056","-0,40646","1522,14","-1544,56","4,55","0","0","3800","181750","184774,32","3024,32","","0,5","0,833","6,209177","0","85,69489011","286,6285714","108,3254945","0","727","0","1064","","0","1","5","0","19000","3800","0","61,73","3611","254,158","212","2","0","1","1","7600","0","3800","3800","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"2026-04-30","852679064","46142|0852679064","723692551","198","94","0","2513","62","2043,06","0","","9","2","2","6750","7","0","0","0","0","0","0","2513","62","2043,06","0,02467","32,95","813","0","0","0","0","0","0","0","0","0","0","0","0","250","9","928,72","103,19","0,036","3714,88","0","0","0","0","0","0","2263","53","1114,34","21,03","0,02342","492,42","0","-0,04993","0","-0,0855","0","-0,00418","0,08648","-0,04418","249","0,56604","23625","7","71","0,28514","0,09859","0,02811","0,769","1,571","0,27125","3600","1","3375","2459,53","0","274","0 - 274","14","2","174,41","5,23","291,87","28,78","0,66667","1","2527,0323","0,25125","0,09991","3391,87","1348,81","4,63","0","0","13500","298386","304081,47","5695,47","","0,4","0,769","21,19482643","0","94,91688525","257,6651786","119,2554098","0","1089","0","945","","0","0","1","0","3600","0","0","243,27","1209","279,234","262","5","1","2","2","16875","3375","6750","6750","4","1","0","5","1","1","0","1","0","5","0","0","0","1","0","1","0","0","0",""
"2026-04-30","868533173","46142|0868533173","628722626","0","4","0","2789","74","3026,61","0","","4","0","0","0","19","0","0","0","0","0","0","2789","74","3026,61","0,02653","40,9","1085,2","0","0","0","0","0","0","0","0","0","0","0","0","370","20","1511,45","75,57","0,05405","4085","0","0","0","0","0","0","2419","54","1515,16","28,06","0,02232","626,36","-0,0287","-0,02047","-0,0358","-0,01145","-0,0215","-0,00608","1,15299","0,60215","186","0,24","2625","1","9","0,04839","0,11111","0,00538","0,868","2","0,3","5250","2","2625","1837,5","0","454","0 - 454","4","0","227","0,53","3026,61","336,29","0,61905","0","1854,849119","0,29339","-0,8596","770,15","-2256,46","5","0","0","2625","338684","339079,38","395,38","","1","0,868","23,00706","0","71,73088235","198","81,11117647","0","746","0","735","","0","0","2","0","5250","0","0","268,69","2602","454,528","94","1","0","0","1","2625","0","0","2625","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
